序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
83,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000500.01.01,东肝,肿瘤位置_肝叶,,SI1114925,,,,,枚举,,,,,,1=左内叶;2=左外叶;3=右前叶;4=右后叶;5=尾状叶,否,,,,
103,LI0000014,0fa0141544be4d5b89acd174b60ad26a53e485aab3f6413783c904128cddef2d,Yes,病理检查,东肝,解剖与病理信息,病理学分型,PATH_CLASS,肿瘤的病理学类型（如肝细胞癌、胆管癌、混合型肝癌等）。,Pathological Classification,病理类型,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.02.0000014.01.01,东肝,是否原发性肝癌,标识患者所患癌症是否为原发性肝癌,SI1111142,,,,,枚举,,,,,,1=是;2=否;3=不详,否,,,,
107,LI0000014,0fa0141544be4d5b89acd174b60ad26a53e485aab3f6413783c904128cddef2d,Yes,病理检查,东肝,解剖与病理信息,病理学分型,PATH_CLASS,肿瘤的病理学类型（如肝细胞癌、胆管癌、混合型肝癌等）。,Pathological Classification,病理类型,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0001645.01.01,上海东方肝胆医院院级临床研究数据集,Ⅰ复发后再次手术_病理细胞学分型,,SI1122499,,,,,枚举,,,,,,1=肝细胞癌;2=胆管细胞癌;3=混合型,否,,,,
114,LI0000015,21e24dffd3ae9e0d474fc9ba9b08675fd4e895e10bb22948dd898317a6471194,Yes,"病理,病理诊断,诊断,现病史","东肝,胸科",解剖与病理信息,组织学分型,HISTO_CLASS,肝癌的组织学形态，常见有细梁型、粗梁型、假腺管型和团片型等,Histological Classification,"组织学类型,病理组织学分类",东肝-肝癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0001642.01.01,上海东方肝胆医院院级临床研究数据集,术后病理_病理组织学分型,,SI1122496,,,,,枚举,,,,,,1=细梁型;2=粗梁型;3=团片型;4=致密型;5=硬化型;6=假腺管型,否,,,,
120,LI0000016,14335afd0685749c7f55509798c98bfb7921abcf66d6b60097d92fb383c996d7,Yes,病理诊断,东肝,解剖与病理信息,细胞学类型,CYTO_TYPE,癌症的细胞学形态的分类,Cytological Type,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.02.0000010.01.01,东肝,细胞学类型,肿瘤所属的细胞学类型,SI1111127,,,,,枚举,,,,,,1=透明细胞型;2=富脂型;3=梭形细胞型;4=未分化型;5=其他类型,否,,,,
126,LI0000017,d79652fe06ab4fda1e2c3a68bc9cff9b0488cbd90618d873fc1446a304cd8fd3,Yes,病理诊断,东肝,解剖与病理信息,癌细胞形状,CELL_SHAPE,描述癌细胞的形状特征，如类圆形、不规则形等。,Cancer Cell Shape,,东肝-肝癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000493.01.01,东肝,术后病理_形状,,SI1114918,,,,,枚举,,,,,,0=类圆型;1=不规则,否,,,,
129,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000486.01.01,东肝,术后病理_数目,,SI1114911,,,,,小数,,6,2,,,,,,,,
133,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.14.0000194.01.01,中山七院;东肝,肿瘤个数,,SI1107531,,,,,整数,,4,,个,,,,,,,
152,LI0000018,0d7746522b5a78fa4cc45bc155873d9c576e472fa9f97d91a625d65bcf1d015a,Yes,"日常病程,病理诊断,入院记录,手术记录,检查",东肝,解剖与病理信息,病变数量,LESION_COUNT,说明肿瘤或病变区域的数量。,Number of Lesions,病灶数目,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.02.0000083.01.01,中山七院;东肝,肿瘤分型,,SI1107960,,,,,枚举,,,,,,肿块型;溃疡型;浸润型;混合型,否,,,,
158,LI0000019,09b41e70d0c621d0472c46b2754ebe48933e2763e5b0eae318d2757dad658e4a,Yes,"影像检查,专科检查,物理检查,病理,病理诊断,入院记录,现病史,手术记录,检查,病理检查","东肝,九院,胸科",解剖与病理信息,病变大小,LESION_SIZE,测量的病灶尺寸大小，通常通过横径纵径描述，或者通过直径描述。,Lesion Size,"病灶大小,原发灶大小",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000822.01.01,上海东方肝胆医院院级临床研究数据集,瘤灶横径,,SI1121969,,,,,小数,,6,2,cm,,,,,,,
