序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
430,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000451.01.01,东肝,术后病理_CK18,,SI1114876,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
435,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000820.01.01,上海东方肝胆医院院级临床研究数据集,免疫组化_CD117,,SI1121967,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
439,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000478.01.01,东肝,术后病理_PCNA,,SI1114903,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
444,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000469.01.01,东肝,术后病理_Ki-67,,SI1114894,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
449,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000467.01.01,东肝,术后病理_HER-2,,SI1114892,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
454,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000474.01.01,东肝,术后病理_免疫组化其它,,SI1114899,,,,,文本,200,,,,,,,,,,
457,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000824.01.01,上海东方肝胆医院院级临床研究数据集,免疫组化_CD105,,SI1121971,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
461,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000452.01.01,东肝,术后病理_CK19,,SI1114877,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
466,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000466.01.01,东肝,术后病理_Hep-1,,SI1114891,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
471,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000447.01.01,东肝,术后病理_AQP-1,,SI1114872,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
476,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000448.01.01,东肝,术后病理_B-catenin,,SI1114873,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
486,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000826.01.01,上海东方肝胆医院院级临床研究数据集,免疫组化_CD34,,SI1121973,,,,,枚举,,,,,,0=阴性;1=阳性,否,,,,
490,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000455.01.01,东肝,术后病理_COX-2,,SI1114880,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
495,LI0000051,cea76c2b9a65eef64bfe8223e11df1365c27f71279253a1421c6e988d8409f7b,Yes,"病理诊断,病理检查","东肝,九院",检查与检测,免疫组化项目及结果,IHC_PANEL,使用免疫组化技术检测的不同生物标记物的结果。,Immunohistochemistry (IHC) Panel,"P16, HPV",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000476.01.01,东肝,术后病理_P53,,SI1114901,,,,,枚举,,,,,,0=阴性;1=阳性;9=未描述,否,,,,
544,LI0000063,3c863179ca21831f83d49fbb46fef4754b80e80c356250a162d8b866769ddbe9,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,吸烟量,SMK_QUANTITY,个人每天平均吸烟的数量，通常用“支/天”来表示。,Smoking Quantity (per day),吸烟频率,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000355.01.01,东肝,年吸烟量,,SI1114779,,,,,整数,,3,,支,,,,,,,
558,LI0000067,4a6b66464711eeeaef358fb0d14469b380163a1184a61b39cc27917b11330279,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,饮酒量,ALCOHOL_QUANTITY,个人平均每周或每月饮酒的数量，可以按照标准饮品单位来衡量。,Alcohol Consumption Level,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.04.0000058.01.01,UDE,饮酒量,,SI1119011,,,,,整数,,5,,,,,,,,,
575,LI0000071,f34485a74a73dad236274f48bfc69bc0460225bcd24258b5ea32969bbef794d8,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,饮酒标志,ALC_STAT,描述个人是否饮酒的状态。,Alcohol Status,"饮酒情况, 饮酒史",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.04.0000016.01.01,九院;东肝,饮酒史,患者个人史中关于饮酒戒酒情况的详细描述,SI1111457,,,,,文本,5000,,,,,,,,,,
592,LI0000074,0c68633db6e10248756c6edb0df0e2dbf47319573f3fcc849eb0f800e7545a36,Yes,"入院记录,个人史,现病史,既往史","东肝,胸科",个人基本信息,吸烟标志,SSMK_STAT,描述个人是否吸烟的状态，如从不吸烟者、现在吸烟者、曾经吸烟者等。,Smoking Status,吸烟情况,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.04.03.0000023.01.01,九院;东肝,吸烟史,患者个人史中关于吸烟戒烟情况的详细描述,SI1111458,,,,,文本,5000,,,,,,,,,,
600,LI0000077,e79712fd7b98651a45376163a058a009676827f2b4cb015364fe0f861c47581c,Yes,"病理,病理诊断,诊断,病理检查","东肝,九院,胸科",健康问题与诊断,切缘情况,MARGIN_STATUS,描述手术切除边缘的状态，包括是否含有癌细胞。,Margin Status,"切缘,切缘描述",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000482.01.01,东肝,术后病理_病理切缘情况,,SI1114907,,,,,小数,,6,2,,,,,,,,
606,LI0000077,e79712fd7b98651a45376163a058a009676827f2b4cb015364fe0f861c47581c,Yes,"病理,病理诊断,诊断,病理检查","东肝,九院,胸科",健康问题与诊断,切缘情况,MARGIN_STATUS,描述手术切除边缘的状态，包括是否含有癌细胞。,Margin Status,"切缘,切缘描述",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000463.01.01,东肝,术后病理_肝切缘侵犯,,SI1114888,,,,,枚举,,,,,,0=无;1=有;2=未描述,否,,,,
622,LI0000082,2ac4d938222d5c00f83d56888059397b8dbcd06d7a5da45c72ab3f35650d7879,Yes,病理诊断,东肝,健康问题与诊断,卫星结节,SAT_NODULES,描述是否存在卫星结节或肝内转移灶（如微血管侵犯外的独立病灶）。,Satellite Nodules,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000495.01.01,东肝,术后病理_子灶,,SI1114920,,,,,枚举,,,,,,0=无;1=有,否,,,,
626,LI0000083,65b72a2e9a83cc839cd8a9a733f58a06c4a408ea1476176984f6c8b3e1c93ea0,Yes,病理诊断,东肝,健康问题与诊断,是否多灶性生长,MULTIFOCAL_GROWTH,肿瘤周围是否存在多个微小癌灶（是/否），提示侵袭性生物学行为。,Multifocal Growth,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000391.01.01,东肝,术后病理_癌周多灶性生长,,SI1114815,,,,,枚举,,,,,,0=不是;1=是;2=未描述,否,,,,
630,LI0000084,cd5fc685644c637f42492c5632b78de011432536fca547306349647272f7e45e,Yes,病理诊断,东肝,健康问题与诊断,包膜是否完整,CAPSULE_INTEGRITY,记录肿瘤是否形成完整包膜（完整/不完整/无包膜），完整包膜提示局限性生长。,Capsule Integrity,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000449.01.01,东肝,术后病理_包膜,,SI1114874,,,,,枚举,,,,,,0=无;1=完整;2=不完整;3=未描述,否,,,,
634,LI0000085,521ff5d6f15e84b72112b217c44f5f47b62bf77b2f7bbfcb2f705d3d4a623ed7,Yes,病理诊断,东肝,健康问题与诊断,是否浸润性生长,INVASIVE_GROWTH,判断癌细胞是否侵犯周边组织。,Invasive Growth,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000468.01.01,东肝,术后病理_浸润性生长,,SI1114893,,,,,枚举,,,,,,0=不是;1=是;2=未描述,否,,,,
638,LI0000086,403207f8ad4707ca2b1d6981d1b1008148550e3fd0f6f9ecb0fa1851426e5a9f,Yes,病理诊断,东肝,健康问题与诊断,卫星灶情况,SAT_LESION_STATUS,描述肝内是否存在与原发灶分离的微小卫星病灶,Satellite Lesion Status,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000495.01.01,东肝,术后病理_子灶,,SI1114920,,,,,枚举,,,,,,0=无;1=有,否,,,,
642,LI0000087,66f9bec4def68ee7b00fd534172ec68dbc5baf5ec8ceddc56f59e79d61e714f8,Yes,病理诊断,东肝,健康问题与诊断,微血管侵犯标志,MVI_IND,显示癌细胞是否侵入微小血管。,Microvascular Invasion Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000506.01.01,东肝,镜下是否可见血管侵犯,,SI1114931,,,,,枚举,,,,,,0=无;1=有,否,,,,
644,LI0000088,df3db06fec7322c2b7196d35033304f75bdc6094350f06705a5d4924d6886f61,Yes,病理诊断,东肝,健康问题与诊断,MVI分级,MVI_GRADE,微血管侵犯的程度分级。,Microvascular Invasion Grading,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000492.01.01,东肝,术后病理_血管侵犯,,SI1114917,,,,,枚举,,,,,,0=无（即MVI：0）;1=（MVI：1）;2=（MVI：2）;3=未描述,否,,,,
648,LI0000089,addcf0e8dc677bfff5966350f369d2a64bc5d7e020991e85d9be32a07a7f7512,Yes,病理诊断,东肝,健康问题与诊断,侵犯数量,INV_COUNT,微血管侵犯的数量。,Number of Invasions,,东肝-肝癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000506.01.01,东肝,镜下是否可见血管侵犯,,SI1114931,,,,,枚举,,,,,,0=无;1=有,否,,,,
650,LI0000089,addcf0e8dc677bfff5966350f369d2a64bc5d7e020991e85d9be32a07a7f7512,Yes,病理诊断,东肝,健康问题与诊断,侵犯数量,INV_COUNT,微血管侵犯的数量。,Number of Invasions,,东肝-肝癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000957.01.01,九院;东肝,血管侵犯,,SI1112467,,,,,枚举,,,,,,0=否;1=是,否,,,,
654,LI0000092,c7849a7c295871a60cb65e34cb1b1af400ef62b179990d17120b3217cf09c66f,Yes,病理诊断,东肝,健康问题与诊断,切缘距离,MARGIN_DISTANCE,测量最近的癌细胞到手术切除边缘的距离。,Margin Distance,,东肝-肝癌,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000483.01.01,东肝,术后病理_切缘最小宽度,,SI1114908,,,,,小数,,6,2,,,,,,,,
659,LI0000093,5f225e2064536d47b370b768a08788b245a935321cc105efafca4f66686eb396,Yes,手术记录,东肝,健康问题与诊断,胆管癌栓标志,BDCT_IND,标识是否存在胆管癌栓。,Bile Duct Carcinoma Thrombus Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000416.01.01,东肝,胆管内癌栓,,SI1114840,,,,,枚举,,,,,,0=无;1=有,否,,,,
663,LI0000097,336129192e83d17160e8a718d17049984ce12acd3ee8c0662f0250ab218ab7b0,Yes,"手术记录,检查",东肝,健康问题与诊断,血管癌栓标志,VCT_IND,标识是否存在血管癌栓。,Vascular Carcinoma Thrombus Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000344.01.01,东肝,肝静脉癌栓部位,,SI1114768,,,,,枚举,,,,,,0=无;1=左支;2=右支;3=主干,否,,,,
670,LI0000097,336129192e83d17160e8a718d17049984ce12acd3ee8c0662f0250ab218ab7b0,Yes,"手术记录,检查",东肝,健康问题与诊断,血管癌栓标志,VCT_IND,标识是否存在血管癌栓。,Vascular Carcinoma Thrombus Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000814.01.01,上海东方肝胆医院院级临床研究数据集,门脉癌栓位置,,SI1121961,,,,,枚举,,,,,,0=无;2=左支;3=右支;4=主干,是,,,,
679,LI0000097,336129192e83d17160e8a718d17049984ce12acd3ee8c0662f0250ab218ab7b0,Yes,"手术记录,检查",东肝,健康问题与诊断,血管癌栓标志,VCT_IND,标识是否存在血管癌栓。,Vascular Carcinoma Thrombus Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000347.01.01,东肝,腔静脉癌栓,,SI1114771,,,,,枚举,,,,,,0=无;1=有,否,,,,
686,LI0000098,3017c5660a2fd383f0134dfc64d49fdbdf68af0223eb1fbb67d2f6343e5ba757,Yes,"入院记录,现病史","东肝,九院",健康问题与诊断,复发,RECURRENCE,是否经历了癌症复发的情况。,Recurrence,"肿瘤病灶性质, 肝癌复发",,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000402.01.01,东肝,是否肝癌复发,,SI1114826,,,,,布尔,,,,,,,,,,,
689,LI0000100,09d153e3ddc6daa77365893c80486677989649ea1fe3105ac240472a597678ee,Yes,入院记录,东肝,健康问题与诊断,复发来源,REC_ORIGIN,复发的癌症是原发灶还是转移而来的。,Recurrence Origin,肝癌复发来源,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.10.00.0000586.01.01,九院;东肝,术后是否复发,评估患者接受手术治疗后疾病是否再次复发,SI1111965,,,,,枚举,,,,,,0=否;1=是,否,,,,
696,LI0000102,33cd90ed1a438eb02c93457941ea8b0d8809ae10c4ce3d53f35a8f59fea5a90f,Yes,日常病程,东肝,健康问题与诊断,并发症治疗方式,COMP_TREATMENT,描述对患者实施的并发症治疗具体方式及内容,Complication Treatment Methods,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000579.01.01,东肝,并发症具体治疗方式及内容,,SI1115007,,,,,文本,5000,,,,,,,,,,
700,LI0000102,33cd90ed1a438eb02c93457941ea8b0d8809ae10c4ce3d53f35a8f59fea5a90f,Yes,日常病程,东肝,健康问题与诊断,并发症治疗方式,COMP_TREATMENT,描述对患者实施的并发症治疗具体方式及内容,Complication Treatment Methods,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000580.01.01,东肝,术后并发症_并发症治疗,,SI1115008,,,,,枚举,,,,,,0=无;1=有,否,,,,
707,LI0000103,381ef09ef8cae52562ef9993db4932e74a675ca3aa68a4392aca99d055ba227f,Yes,"影像检查,入院记录","东肝,九院",检查与检测,辅助检查类型,ANC_EXAM_TYPE,为确诊或评估病情所做的各种医学检查的类型。,Ancillary Examination Type,影像检查类型,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000498.01.01,东肝,检查报告的检查类型,,SI1114923,,,,,枚举,,,,,,0=CT;1=PET;2=MRI;3=B超;4=介入治疗;5=胃镜;6=其他,否,,,,
715,LI0000104,687dcdf2260b6d64bd122a293fb15042abb905ae32ab88145125d7ff55e7322e,Yes,"入院记录,现病史","东肝,胸科",检查与检测,检查日期,EXAM_DATE,进行上述辅助检查的具体日期。,Examination Date,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000501.01.01,东肝,辅助检查日期,,SI1114926,,,,,日期/时间,,,,,yyyy-MM-dd,,,,,,
745,LI0000105,c2350bda1cc4ebadc64224ea4ef587be2f5bec64505a2c0751857fc2a96ae08f,Yes,入院记录,东肝,检查与检测,辅助检查结果,ANC_EXAM_RESULT,上述检查的结果总结。,Ancillary Examination Result,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.01.0000042.01.01,卫健委;东肝,辅助检查结果,受检者辅助检查结果的详细描述,SI1103117,,,,,文本,100,,,,,,,,,,
760,LI0000108,a6a1dc156ab18f5431e016af2e1abb736e88314ecd2a2cfec1e14ccd0b4fb523,Yes,病理诊断,东肝,检查与检测,标本大小,SPEC_SIZE,指病理标本在不同维度上的尺寸，通常包括横径和纵径。,Specimen Size,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000480.01.01,东肝,切除肝脏总大小纵径,,SI1114905,,,,,小数,,6,2,,,,,,,,
765,LI0000108,a6a1dc156ab18f5431e016af2e1abb736e88314ecd2a2cfec1e14ccd0b4fb523,Yes,病理诊断,东肝,检查与检测,标本大小,SPEC_SIZE,指病理标本在不同维度上的尺寸，通常包括横径和纵径。,Specimen Size,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000479.01.01,东肝,切除肝脏总大小横径,,SI1114904,,,,,小数,,6,2,,,,,,,,
777,LI0000111,be979c51fa3bcefce9d931e9fb35981c884caaf5c08aca839716ac110075451f,Yes,病理检查,东肝,健康问题与诊断,肝硬化情况,CIRRHOSIS_COND,描述肝脏硬化的类型，如有无、大结节型、小结节型等。,Cirrhosis Condition,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000393.01.01,东肝,术后病理_肝硬化情况,,SI1114817,,,,,枚举,,,,,,0=无;1=大结节型;2=小结节型;3=混合型,否,,,,
781,LI0000112,ad5b64add9f9ef22a480c9a37f5aaaa96d7186c6f099d6c04d8c608d94c6c7c0,Yes,病理检查,东肝,健康问题与诊断,肝炎分期分级,HEP_STAGING,评估慢性肝炎的严重程度。,Hepatitis Staging and Grading,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000392.01.01,东肝,术后病理_肝炎肝纤维化情况,,SI1114816,,,,,枚举,,,,,,1=G1S1;2=G1S2;3=G1S3;4=G1S4;5=G2S1;6=G2S2;7=G2S3;8=G2S4;9=G3S1;10=G3S2;11=G3S3;12=G3S4;13=G4S1;14=G4S2;15=G4S3;16=G4S4,否,,,,
785,LI0000113,30de9fb547a664bfcd733803343e95a4f17ad9a517e896222837c8d0198301a1,Yes,"日常病程,入院记录,手术记录,检查",东肝,健康问题与诊断,静脉曲张部位,VARICES_LOC,描述静脉曲张发生的具体部位（食管、胃底）,Varices Location,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000236.01.01,UDE,食管胃底静脉曲张标志,,SI1117087,,,,,布尔,,,,,,,,,,,
794,LI0000113,30de9fb547a664bfcd733803343e95a4f17ad9a517e896222837c8d0198301a1,Yes,"日常病程,入院记录,手术记录,检查",东肝,健康问题与诊断,静脉曲张部位,VARICES_LOC,描述静脉曲张发生的具体部位（食管、胃底）,Varices Location,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000499.01.01,东肝,静脉曲张部位,,SI1114924,,,,,文本,200,,,,,,,,,,
797,LI0000114,08308211a6c19ca09bf1d8c9478532973ced8ec11b5eeccad8499a828bbc9786,Yes,"日常病程,手术记录,检查",东肝,健康问题与诊断,静脉曲张程度,VARICES_SEVERITY,"评估静脉曲张的严重程度（轻,中,重,未描述）",Varices Severity,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000395.01.01,东肝,静脉曲张程度,,SI1114819,,,,,文本,,,,,,,,,,,
799,LI0000114,08308211a6c19ca09bf1d8c9478532973ced8ec11b5eeccad8499a828bbc9786,Yes,"日常病程,手术记录,检查",东肝,健康问题与诊断,静脉曲张程度,VARICES_SEVERITY,"评估静脉曲张的严重程度（轻,中,重,未描述）",Varices Severity,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000236.01.01,UDE,食管胃底静脉曲张标志,,SI1117087,,,,,布尔,,,,,,,,,,,
808,LI0000115,016361529c2e4b1f4ca2b0a401635cfe32511133876727bedbdb4d90bf1188ef,Yes,"手术记录,检查",东肝,健康问题与诊断,肝硬化标志,CIRRHOSIS_IND,标识是否存在肝硬化。,Cirrhosis Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.09.99.0000029.01.01,中山七院;东肝,肝硬化,,SI1103434,,,,,枚举,,,,,,0=无;1=有,否,,,,
819,LI0000116,21cc4e50eb550c7aab7491a4da568cd7fc702796a0f2d2d0c623c3d8a67fa707,Yes,检查,东肝,健康问题与诊断,门脉高压标志,PH_IND,标识是否存在门脉高压。,Portal Hypertension Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000396.01.01,东肝,门脉高压症,,SI1114820,,,,,枚举,,,,,,0=否;1=是;9=未描述,否,,,,
821,LI0000117,b0ca930c73b626a18a0ca4debfbe8cba8c0ef28e58071f6e25b2cdc38370414f,Yes,检查,东肝,健康问题与诊断,脾功能亢进标志,HS_IND,标识是否存在脾功能亢进。,Hyperfunctioning Spleen Indicator,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000397.01.01,东肝,脾功能亢进,,SI1114821,,,,,枚举,,,,,,0=否;1=是;9=未描述,否,,,,
823,LI0000118,a45ced0050188d98cd4de205bcec60db1ef06363df135c7d96a2a36bab2774d2,Yes,"入院记录,手术记录,检查",东肝,健康问题与诊断,腹水情况,ASCITES_COND,描述腹腔内积液的存在与否及严重程度。,Ascites Condition,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.99.0000125.01.01,中山七院,送检腹水,,SI1104339,,,,,整数,,3,,ml,,,,,,,
827,LI0000119,059477f619f31375004a77eafd77f3c23a168023494825274cfc232b47127c8d,Yes,"入院记录,检查",东肝,健康问题与诊断,腹水厚度,ASCITES_THICKNESS,通过影像学检查测量得到的腹水层厚度值。,Ascites Thickness,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000343.01.01,东肝,腹水厚度,,SI1114767,,,,,小数,,6,2,mm,,,,,,,
831,LI0000120,3b8eeef0bd46ef5e92cf15a975c041c40244050e07b6580b99cd23fdb27f898b,Yes,"日常病程,入院记录,手术记录,检查",东肝,健康问题与诊断,静脉曲张标志,VARICES_IND,标识是否存在某些部位胃底静脉曲张的情况。,Varices Indicator,腹壁静脉曲张标志,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.07.00.0000236.01.01,UDE,食管胃底静脉曲张标志,,SI1117087,,,,,布尔,,,,,,,,,,,
870,LI0000128,40531f162e1e7a93888d4cfef8a80ebd52dca8548f9969255dbc7083a4529d90,Yes,"影像检查,专科检查,病理诊断,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯部位,LN_INVOLVED_SITE,记录被癌症细胞侵袭的淋巴结数目。,Site of Lymph Node Involvement,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000426.01.01,东肝,淋巴结侵犯部位_肝总动脉旁,,SI1114850,,,,,枚举,,,,,,0=无;1=有,否,,,,
874,LI0000128,40531f162e1e7a93888d4cfef8a80ebd52dca8548f9969255dbc7083a4529d90,Yes,"影像检查,专科检查,病理诊断,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯部位,LN_INVOLVED_SITE,记录被癌症细胞侵袭的淋巴结数目。,Site of Lymph Node Involvement,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000461.01.01,东肝,术后病理_膈肌,,SI1114886,,,,,文本,200,,,,,,,,,,
882,LI0000128,40531f162e1e7a93888d4cfef8a80ebd52dca8548f9969255dbc7083a4529d90,Yes,"影像检查,专科检查,病理诊断,手术记录,病理检查","东肝,九院",解剖与病理信息,淋巴结侵犯部位,LN_INVOLVED_SITE,记录被癌症细胞侵袭的淋巴结数目。,Site of Lymph Node Involvement,,,,,临床研究通用数据元素集(CRCDE),数据元标准,CCDE.99.00.0000427.01.01,东肝,淋巴结侵犯部位_其他侵犯部位,,SI1114851,,,,,文本,200,,,,,,,,,,
