序号,系统编码,标签版本,是否当前版本,适用文书类型,医院,所属标签包,标签名称,标签CODE,定义/描述,标签英文名,其他名称,来源,来源版本,来源编码,标准名称,标准类型,CDE编号,CDE来源,CReDEs-数据项,CReDEs-值域描述,原映射编码,CReDEs_限定范围,CReDEs_限定范围(英文),CReDEs_值域描述,CReDEs_值域描述(英文),数据类型,文本-长度,数字-长度,数字-精度,数字-单位,日期/时间,枚举-可选内容,枚举-是否多选,,,,
77,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,TGJCBW,上海胸科,部位,,SI0100173,,,,,枚举,,,,,,1=一般情况;2=头;3=眼;4=耳;5=鼻;6=喉;7=颈;8=心脏;9=胸部（包括肺）;10=腹部;11=四肢;12=皮肤;13=淋巴结;14=神经系统;15=其他,否,,,,
79,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BWMS_BBZ,上海胸科,靶病灶部位描述,,SI0100065,,,,,文本,100,,,,,,,,,,
81,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BWMS_FBBZ,上海胸科,非靶病灶部位描述,,SI0100079,,,,,文本,100,,,,,,,,,,
82,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BWMS_XBZ,上海胸科,新病灶部位描述,,SI0100092,,,,,文本,100,,,,,,,,,,
93,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_XBZ,上海胸科,新病灶部位,,SI0100090,,,,,枚举,,,,,,1=左肺上叶;2=左肺下叶;3=右肺上叶;4=右肺中叶;5=右肺下叶;6=纵隔淋巴结;7=肺门淋巴结,否,,,,
94,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_QT_BBZ,上海胸科,靶病灶部位（其它）,,SI0100064,,,,,文本,100,,,,,,,,,,
95,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BWMS_FF,上海胸科,复发部位描述,,SI0100513,,,,,文本,100,,,,,,,,,,
96,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_QT_XBZ,上海胸科,新病灶部位（其它）,,SI0100091,,,,,文本,100,,,,,,,,,,
97,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_FBBZ,上海胸科,非靶病灶部位,,SI0100077,,,,,枚举,,,,,,1=左肺上叶;2=左肺下叶;3=右肺上叶;4=右肺中叶;5=右肺下叶;6=纵隔淋巴结;7=肺门淋巴结,否,,,,
98,LI0000012,fea24f38a7c238d5f14fc07b02bc255e2f8f2c59eba4534adf65ce58ae1bbe34,Yes,"影像检查,专科检查,物理检查,病理,诊断,入院记录,现病史,手术记录,检查,病理检查,病理诊断","东肝,九院,胸科",解剖与病理信息,病变部位,LESION_LOC,记录检查中发现的病灶具体部位，如唇部、口底部、舌部、颊黏膜等。,Lesion Location,"病灶部位,发生部位",,,,NSCLC-pd1抑制剂疗效ETT数据集,数据集标准,BZBW_YFZ,上海胸科,原发灶部位,,SI0100040,,,,,枚举,,,,,,1=左肺上叶;2=左肺下叶;3=右肺上叶;4=右肺中叶;5=右肺下叶,是,,,,
